,Model,CV_Mean_RMSE,CV_Std_RMSE,Train_RMSE,Train_MAE,Train_R²,Test_RMSE,Test_MAE,Test_R²
9,GradientBoosting,82780776,17976209,2362617,1725927,1,57764508,29009155,0.9921
8,RandomForest,89720768,19418649,42038503,19926803,0.9961,71248166,37899746,0.988
2,Lasso,105507381,12056601,98389788,69736097,0.9787,112390118,67053865,0.97
0,Linear,105508619,12055999,98389786,69735390,0.9787,112393125,67056032,0.97
3,Polynomial_Linear_Degree1,105508619,12055999,98389786,69735390,0.9787,112393125,67056032,0.97
5,Polynomial_Lasso,23403195,16599789,2742437,1800517,1,112902092,13310915,0.9697
1,Ridge,105344133,12144956,98512360,70198545,0.9786,119264914,68423425,0.9662
7,Polynomial_SelectK,142695206,18470809,127397956,90914607,0.9642,222477500,108201895,0.8825
4,Polynomial_Ridge_Strong,354801380,30132910,323667434,255623652,0.7692,345041257,261287857,0.7174
6,Polynomial_ElasticNet,636911520,30409737,635894371,533381898,0.1093,617957909,515036578,0.0936
